,text,date,headline,label,ner,ner_labels
0,"KARACHI: The Sindh government has decided to bring down public transport fares by 7 per cent due to massive reduction in petroleum product prices by the federal government, Geo News reported.Sources said reduction in fares will be applicable on public transport, rickshaw, taxi and other means of traveling.Meanwhile, Karachi Transport Ittehad (KTI) has refused to abide by the government decision.KTI President Irshad Bukhari said the commuters are charged the lowest fares in Karachi as compare to other parts of the country, adding that 80pc vehicles run on Compressed Natural Gas (CNG). Bukhari said Karachi transporters will cut fares when decrease in CNG prices will be made.                        










",1/1/2015,sindh govt decides to cut public transport fares by 7pc kti rej,business,"['KARACHI', 'Sindh', 'Geo', 'News', 'Karachi', 'Transport', 'Ittehad', 'KTI', 'KTI', 'Irshad', 'Bukhari', 'Karachi', 'Compressed', 'Natural', 'Gas', 'CNG', 'Bukhari', 'Karachi', 'CNG']","['I-ORG', 'I-LOC', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-PER', 'I-PER', 'I-LOC', 'I-MISC', 'I-MISC', 'I-MISC', 'I-MISC', 'I-PER', 'I-LOC', 'I-MISC']"
1,"HONG KONG:  Hong Kong shares opened 0.66 percent lower Monday following a tepid lead from Wall Street, as the first full week of the new year kicked off.The benchmark Hang Seng Index dipped 158.63 points to 23,699.19. 










",1/5/2015,hong kong stocks open 0.66 percent lower,business,"['Hong', 'Kong', 'Wall', 'Street', 'Hang', 'Seng']","['I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-MISC', 'I-MISC']"
2,"New York: Oil prices tumbled Tuesday to fresh 5.5-year lows as Saudi Arabia blamed weak global economic growth and said it will stick to its guns on production policy.US benchmark West Texas Intermediate for delivery in February sank $2.11 to $47.93 a barrel, a low last witnessed in late April 2009.Brent North Sea crude for delivery in February dived $2.01 to $51.10 per barrel, the lowest level since early May 2009.""The market is still worried that there are no signs that the supply glut will start falling,"" Nordea Markets analyst Thina Margrethe Saltvedt told AFP.James Williams of WTRG said the weakness in the market could take prices below $40 a barrel.""Basically, there are continuing concerns about OPEC not cutting back, particularly Saudi Arabia, and US production continuing to grow,"" he said.Saudi Arabia´s Crown Prince Salman, in a speech on behalf of ailing King Abdullah Tuesday, said weak growth was to blame for the price fall, which has sliced deeply into the income of the world´s largest exporter.""This development is not new in the oil market, and the kingdom has in the past dealt with it firmly and wisely,"" he said, adding that Saudi Arabia will maintain its ""same approach"" towards the market.That appeared to confirm Riyadh´s determination to defend its market share rather than reduce output, even if that pushes prices lower.On Monday Saudi Arabia reportedly cut its European and US export prices in order to maintain market share. (AFP)                        










",1/7/2015,oil hits new 5.5 year lows as saudis defend ,business,"['New', 'York', 'Saudi', 'Arabia', 'US', 'West', 'Texas', 'Intermediate', 'Brent', 'North', 'Sea', 'Nordea', 'Markets', 'Thina', 'Margrethe', 'Saltvedt', 'AFP', 'James', 'Williams', 'WTRG', 'OPEC', 'Saudi', 'Arabia', 'US', 'Saudi', 'Arabia´s', 'Salman', 'Abdullah', 'Saudi', 'Arabia', 'Riyadh´s', 'Saudi', 'Arabia', 'European', 'US', 'AFP']","['I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-ORG', 'I-ORG', 'I-MISC', 'I-MISC', 'I-MISC', 'I-MISC', 'I-ORG', 'I-ORG', 'I-PER', 'I-PER', 'I-PER', 'I-ORG', 'I-PER', 'I-PER', 'I-ORG', 'I-ORG', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-PER', 'I-PER', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-ORG']"
3,"KARACHI: Strong bulls on Friday pulled the benchmark KSE-100 Index at Karachi Stock Exchange (KSE) and taking it across the psychological barrier of 33,000 points with a single days gain of 207 points.The investors remained active right from the opening bells of todays trade, contributing 207 points to the major index and a close at 33,324 points  a new record in Pakistans stock market history.According to stock market experts, the investors are interested in taking fresh positions in the expectations of discount rate going further down as a result of a visible decline in inflation rate.They said the stock market of Pakistan has earned the honour of being considered as one of the most successful markets of this region in 2014 during which investors booked over 25 percent profits.  










",1/9/2015,bullish kse jumps over 33000 psychological barrier,business,"['KARACHI', 'KSE', '-', '100', 'Index', 'Karachi', 'Stock', 'Exchange', 'KSE', 'Pakistans', 'Pakistan']","['I-ORG', 'I-MISC', 'I-MISC', 'I-MISC', 'I-MISC', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-LOC', 'I-LOC']"
4,"Singapore: Oil fell further in Asia Monday, with weak demand and a supply glut putting relentless pressure on prices already at their lowest in five and a half years, analysts said.US benchmark West Texas Intermediate (WTI) for February delivery was down 81 cents at $47.55 a barrel in mid-morning trade and Brent crude for February dropped 90 cents to 49.21.""The fundamental factors have not changed much. There is an oversupply and demand is weak,"" said Daniel Ang, an investment analyst with Phillip Futures in Singapore.The outlook is for prices to decline further this week, with WTI seen touching a low of $45 and Brent $48, Ang told AFP.""Oil prices continued to tumble and headed for a seventh straight weekly loss as key producers show no sign of cutting output in the face of a supply glut,"" Singapore´s United Overseas Bank said in a commentary.Crude prices have lost more than half their value since the middle of last year when they sat well above $100 a barrel.Members of the Organization of the Petroleum Exporting Countries, which pumps about 40 percent of the world´s oil, have said they will not cut production despite excessive supplies. (AFP)                        










",1/12/2015,oil falls further in asian trad,business,"['Singapore', 'Asia', 'US', 'West', 'Texas', 'Intermediate', 'WTI', 'Brent', 'Daniel', 'Ang', 'Phillip', 'Futures', 'Singapore', 'WTI', 'Brent', 'Ang', 'AFP', 'Singapore´s', 'United', 'Overseas', 'Bank', 'Organization', 'of', 'the', 'Petroleum', 'Countries', 'AFP']","['I-LOC', 'I-LOC', 'I-LOC', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-PER', 'I-PER', 'I-ORG', 'I-ORG', 'I-LOC', 'I-ORG', 'I-ORG', 'I-PER', 'I-ORG', 'I-LOC', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-MISC', 'I-ORG', 'I-ORG']"
5,"KARACHI: Wholesale market rates for sugar dropped to less than Rs 50 per kg following the resumption of sugar cane crushing by sugar mills in Sindh.Within two days, the rate dropped by Rs 1.70 to Rs 49.80 per kg in Karachi Whole Sale Market.According to dealers, the resumption of sugar cane crushing by the mills stabilised the supply to the market with an immediate effect on price as well.Industry experts said that the quality of sugar cane is excellent in Sindh and approximately 100 kg of sugar cane can produce 11 kg of sugar.  










",1/13/2015,sugar prices drop to rs 49.80 in sind,business,"['KARACHI', 'Sindh', 'Karachi', 'Sindh']","['I-ORG', 'I-LOC', 'I-LOC', 'I-LOC']"
6,"TOKYO: Tokyo stocks opened 0.74 percent lower on Wednesday, hit by the yen´s rise and drops on Wall Street on worries about falling oil prices.The Nikkei 225 index at the Tokyo Stock Exchange lost 125.89 to 16,961.82 at the start.In New York on Tuesday the Dow Jones Industrial Average dropped 0.15 percent and the broad-based S&P 500 fell 0.26 percent, overshadowed by worries about sliding crude oil prices.The yen rose against other currencies on safe-haven buying, a negative for Japanese exporters as the stronger currency makes them less competitive abroad and erodes profits when repatriated.The dollar was at 117.72 yen early Wednesday, down from 117.90 yen in New York Tuesday afternoon and rates above 118 yen seen in Tokyo earlier Tuesday.The euro also fell after a key European central banker expressed support for monetary stimulus.The common European currency bought 138.69 yen and $1.1776 against 138.84 yen and $1.1777 in US trade.The ruble´s drop took a breather early Wednesday after plunging by around 5 percent on Tuesday as global oil prices tumbled towards a six-year low.The dollar was at 65.28 against the ruble on Wednesday against levels above 66 seen on Tuesday. 










",1/14/2015,tokyo stocks open 0.74 percent lower,business,"['TOKYO', 'Tokyo', 'Wall', 'Street', 'Nikkei', '225', 'Tokyo', 'Stock', 'Exchange', 'New', 'York', 'Dow', 'Jones', 'Industrial', 'Average', 'S', '&', 'P', 'Japanese', 'New', 'York', 'Tokyo', 'European', 'European', 'US']","['I-ORG', 'I-LOC', 'I-LOC', 'I-LOC', 'I-MISC', 'I-MISC', 'I-ORG', 'I-ORG', 'I-ORG', 'I-LOC', 'I-LOC', 'I-MISC', 'I-MISC', 'I-MISC', 'I-MISC', 'I-ORG', 'I-ORG', 'I-ORG', 'I-MISC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-MISC', 'I-MISC', 'I-LOC']"
7,"HONG KONG: Hong Kong stocks edged up 0.24 percent in early trade Thursday despite a fourth successive day of losses on Wall Street.The benchmark Hang Seng Index added 56.75 points to 24,169.35. 










",1/15/2015,hong kong stocks open 0.24 percent higher,business,"['Hong', 'Kong', 'Wall', 'Street', 'Hang', 'Seng']","['I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-MISC', 'I-MISC']"
8,"ISLAMABAD: Long queues of vehicles on fuel stations were visible in different parts of the country as the petrol became rare commodity on Thursday.Federal Minister for Petroleum Shahid Khaqan Abbasi says ""it may take up to ten days to bring the situation to normality"".He claimed that northern areas of Pakistan had been facing the petrol shortage. The minister cited the recent decline in petroleum prices and delay in a shipment as reasons for the shortage.He said situation would improve as soon as shipment reached Pakistan. Sources told Geo News hat due to financial restraints the Pakistan State Oil has been unable import petrol. 










",1/16/2015,govt may take up to ten days to overcome petrol shortag,business,"['Federal', 'Petroleum', 'Shahid', 'Khaqan', 'Abbasi', 'Pakistan', 'Pakistan', 'Geo', 'News', 'Pakistan', 'State', 'Oil']","['I-ORG', 'I-ORG', 'I-PER', 'I-PER', 'I-PER', 'I-LOC', 'I-LOC', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG']"
9,"ISLAMABAD: A two member committee tasked to probe the prevailing petrol shortage on Tuesday said that the situation was a serious failure on the part of OGRA (Oil and Gas Regulatory Authority) as a regulator. The committee presented its initial findings to Prime Minister Nawaz Sharif in a meeting held here under his chairmanship to review the petroleum situation in the country.The PM directed to make structural changes to ensure that such a situation never arises again. The meeting endorsed the earlier decision of suspending four senior officials responsible for the crisis.The meeting also decided that Deputy Managing Director Pakistan State Oil (PSO) Sohail Butt was also equally responsible and ordered for his suspension as well.Meanwhile, Petroleum Minister Shahid Khaqan Abbasi said that he was never satisfied with the performance of OGRA and the authoritys performance as a regulator was not just dismal for petrol but was also same for gas.Petrol crisis: Day 8 The petrol crisis has entered its eight day in Punjab as commuters continue their search for fuel. Long queues are seen at stations which are open with people complaining of waiting for several hours for just a litre of petrol. The All Pakistan Petroleum Dealers Association said that 5.7 mn liters of petrol has been disbursed to fuel stations across Punjab during the last three days and another 1.8 mn liters will be dispersed by tonight.However, according to the Petroleum Dealers Association, the state of affairs is improving and the chaos at stations was only due to mismanagement of the pumps and had nothing to do with the supply.The association further said that all fuel stations have been directed to meet the demands of the commuters with the provided supply of petrol, as well as all stations should stop providing petrol to customers with bottles and canisters in order to avoid queues. 










",1/20/2015,report presented to pm holds ogra responsible for fuel crisi,business,"['ISLAMABAD', 'OGRA', 'Oil', 'and', 'Gas', 'Regulatory', 'Authority', 'Nawaz', 'Sharif', 'Pakistan', 'State', 'Oil', 'PSO', 'Sohail', 'Butt', 'Petroleum', 'Shahid', 'Khaqan', 'Abbasi', 'OGRA', 'Punjab', 'All', 'Pakistan', 'Petroleum', 'Dealers', 'Association', 'Punjab', 'Petroleum', 'Dealers', 'Association']","['I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-PER', 'I-PER', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-PER', 'I-PER', 'I-ORG', 'I-PER', 'I-PER', 'I-PER', 'I-ORG', 'I-LOC', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-LOC', 'I-ORG', 'I-ORG', 'I-ORG']"
