headline,text,label
Twitter's cybersecurity chief quits amid company turmoil,"Twitter's chief information security officer announced their resignation on Thursday, vacating one of the company's most critical roles just as scrutiny is mounting over Twitter's future and the erratic decisions of its new owner, Elon Musk.",national
'I feel betrayed': Cristiano Ronaldo claims he is being forced out of Manchester United,"Manchester United's Cristiano Ronaldo says the club have betrayed him and he is being forced out, while he has no respect for manager Erik ten Hag.",national
Online Black Friday sales surge to new record,"Online Black Friday sales in the United States topped a record-breaking $9.12 billion this year, according to Adobe Analytics, kicking off a solid start to the holiday shopping season despite inflation and other economic concerns.",national
Why New Hampshire may deliver a Senate surprise,"Political buffs have been saying for weeks that the race for Senate control will come down to three or four states: Georgia, Nevada and Pennsylvania, with Arizona sometimes thrown in. But is that list too limited?",national
Homes are collapsing on the Florida coast amid Tropical Storm Nicole. Here's what's behind the dangerous situation,Homes and buildings are collapsing into the ocean and authorities have issued warnings to evacuate some areas as Tropical Storm Nicole pushes a huge volume of ocean water onshore in southeast Florida.,national
NASA says there's no evidence linking James Webb Space Telescope namesake to firings of LGBTQ staff,"Officials at NASA have released their investigation into the space telescope's namesake, the late NASA Administrator James Webb. There is no evidence linking Webb to discriminatory firings during the Lavender Scare of the 1950s, the investigation concluded.",national
'It's like living in an igloo.' People are turning off their heat as prices surge,"As the first frigid weather of autumn chills the Northeast, many people are faced with a tough decision: deal with the surging costs of heating their homes or live without it.",national
"Fauci shares lessons from pandemic, criticism of China's zero-Covid policy ahead of his departure from government","The Covid-19 pandemic has carried a key lesson for public health officials, Dr. Anthony Fauci said Monday: When talking to Americans, be clear that science is often a moving target.",national
"The veteran Black explorer, 78, who's still on the move","New Yorker J.R. Harris has visited well over 50 countries and traveled across some of the most remote areas of the world, including Patagonia and the Australia Outback. And he has no intention of putting away his hiking boots any time soon.",national
A house price slump is coming. Rising unemployment could make it much worse,"Last year, Auckland's largest real estate company couldn't sell properties quickly enough to meet demand in New Zealand's biggest city.",national
Rivian's founder had an early advantage with his electric truck. Now rivals GM and Ford are closing in,"Rivian CEO Robert Joseph Scaringe, better known as RJ, is living his lifelong dream. Getting here though has required dedication to a vision that once seemed nearly impossible. Even now, as the company's assembly lines have started churning out its electric v…",national
"For both parties, North Carolina Senate race is pivotal for 2022 -- and 2024",The North Carolina Senate contest between Democrat Cheri Beasley and Republican Ted Budd could end up being critical to deciding the balance of power in Washington for the next two years. And it may offer early indicators for the 2024 presidential race.,national
Death of boy in lockdown fuels backlash against China's zero-Covid policy,The death of a 3-year-old boy following a suspected gas leak at a locked down residential compound in northwestern China has triggered a fresh wave of outrage at the country's stringent zero-Covid policy.,national
Opinion: Dave Chappelle is right — Donald Trump's not going away,"The jokes about Donald Trump in Dave Chappelle's ""Saturday Night Live"" monologue deserve even more attention than the ones he made about Kanye West, writes Dean Obeidallah. The humor underscored a serious point: Trump isn't going to fade away quietly.",national
Clinton accuses Republicans of trying to 'scare voters' over crime,"Former Secretary of State Hillary Clinton on Thursday said the Republican focus on crime ahead of the 2022 midterm elections was clear hypocrisy, telling CNN's Don Lemon that the party is not ""concerned about voter safety, they just want to keep voters scared…",national
"Analysis: A glitch in Maricopa County, a gift to election deniers","Not much can grow naturally in the barren desert landscape of Arizona's Maricopa County, but given its pivotal role in shaping national politics, it's fertile ground for conspiracy theories to take root.",national
Opinion: Crypto's white knight problem,"Over the past year, as crypto companies imploded and losses mounted, a white knight appeared. Sam Bankman-Fried, the 30-year-old CEO of crypto exchange FTX, helped bail out distressed crypto companies like BlockFi and Voyager. In an industry with a reputation…",national
"Opinion: To fight the climate crisis, we should plant more trees","When we joined with countries, companies and NGOs two years ago to launch the global partnership 1t.org, we knew it would not be a panacea for climate change. Leaders across the forest-climate movement, including ourselves, have always made clear that the mos…",national
Chris Hemsworth receives 'strong indication' of a genetic predisposition to Alzheimer's disease while filming new show,"Chris Hemsworth embarked on a personal and physically demanding journey for his new series ""Limitless"" that ultimately led to a sobering discovery.",national
Cristiano Ronaldo begins World Cup campaign with Portugal after Manchester United departure,"Two days after his turbulent departure from Manchester United, Cristiano Ronaldo will begin his World Cup campaign with Portugal and look to put events from the last week-and-a-half behind him.",national
Analysis: Protests in China send a chill through global markets,"Over the weekend, mainland China experienced something it hasn't seen in more than 30 years: Thousands of protesters flooding the streets, defying the Communist Party.",national
Opinion: Congress just let LGBTQ+ Americans like me breathe a sigh of relief,"In my most vulnerable moments, I have pictured having to tell my young child that his moms' marriage is no longer recognized. I imagined choking back tears and reminding him that it doesn't mean he is any less loved or protected. I envisioned telling him that…",national
Why high temperatures can make planes too heavy to take off,"Our planet's rising temperatures are making it harder for planes to take off at certain airports, presenting yet another challenge to civil aviation. And as heatwaves become more frequent, the problem could extend to more flights, forcing airlines to leave pa…",national
Opinion: The biggest lesson of the 2022 midterm election cycle,"For the past several weeks, pundits warned that Democrats had peaked too early. True, Americans did not like the Supreme Court's decision this summer to reverse Roe v. Wade and destroy abortion rights. But we were all told that June was a long time ago. Other…",national
What to know as states keep counting with key races hanging in the balance,Key races to determine control of the Senate in Arizona and Nevada have yet to be called as both states race to count hundreds of thousands of ballots that have yet to be processed.,national
Opinion: What Mike Pence wants may just be out of reach,"It seems former Vice President Mike Pence wants his boss' old job -- the one former President Donald Trump himself is trying to reclaim in 2024, writes Michael D'Antonio.",national
Analysis: Why the Mar-a-Lago investigation has a special counsel and a special master,"The Justice Department's investigation into the White House documents seized from former President Donald Trump's Mar-a-Lago resort is among the most politically explosive probes in recent years. Here's what a special master is, what a special counsel is and …",national
Opinion: The culture wars have come to the classroom. Now what?,"There are many problems roiling America's public schools, including culture wars that have found their way into the classroom, school libraries and school board meetings over the past several months. But some challenges are more endemic, the product of decade…",national
"Covid-19 rebound may be more common in people who take Paxlovid, early study suggests","Cases of Covid-19 rebound following treatment with the antiviral medication Paxlovid -- where infections rev back up again after people complete their five-day course of the medication -- appear to be at least twice as common as doctors previously knew, a new…",national
Opinion: Trump's shadow hangs over Herschel Walker in Georgia's Senate runoff,"Frida Ghitis writes that if Herschel Waker, the Republican candidate for Senate in Georgia, wants to win the December runoff, he is going to have to pull a rabbit out of a hat.",national
Opinion: Democrats shouldn't underestimate the threat Trump poses,"It looks like former President Donald Trump is going to launch another bid for the White House. On Thursday, Trump told his followers to ""get ready"" for his return to the presidential campaign trail -- and top aides have been eyeing November 14 as a potential…",national
"Budding hurricane, snow and record heat could impact voters tomorrow","This Election Day, all types of weather including rain, snow, heat, cold and even tropical storm impacts are possible -- depending on what region of the country you live in.",national
New semi-high-speed train makes Laos more accessible than ever,"The new semi-high-speed train through Laos links Vientiane with top visitor destinations like Vang Vieng -- a karst-studded playground famous for its adventure options -- as well as Luang Prabang, the country's charming former royal capital.",national
Opinion: The judge blocking student loan relief for millions is wrong about the law,"The legal battles over President Joe Biden's student loan debt relief program heated up on Thursday, when the Fort Worth, Texas-based Judge Mark Pittman, a Trump appointee, struck down the program and issued a nationwide injunction purporting to block it acro…",national
"Opinion: Putin can cling on to power, but his legend is dead","Russian President Vladimir Putin's military machine is broken; his country's economy so scarred that it will take years to recover; his reputation as a geopolitical mastermind in tatters, writes Mark Galeotti. ""Putin-the-man may still cling to power for years…",national
Opinion: Three roadblocks Biden will face with the House under GOP control,"Julian Zelizer writes Julian Zelizer writes that even though there wasn't a red wave, even a ripple in the House of Representatives is extremely consequential. With Republicans in control of the House, the Biden administration will likely encounter a combinat…",national
Opinion: Will Smith shouldn't be defined by his most public mistake,"Jill Filipovic writes of Will Smith that the ""question now isn't whether or not Smith was justified (he wasn't)"" in his violence against Chris Rock. ""It's whether he can ever come back into the public's good graces, and what it means to make amends.""",national
Opinion: What people got wrong about Biden,"The midterms make clear that Biden is a much stronger president than he is often given credit for, writes Julian Zelizer. After two years of speculation about whether Biden should run for a second term, the outcome should also give Democrats reason to believe…",national
Opinion: A disastrous day for Donald Trump,"The results of the 2022 midterm election have not been fully tallied and the crucial question -- who will control Congress? -- has not been answered. But we can draw some initial conclusions, writes Frida Ghitis.",national
Three takeaways from the second Georgia gubernatorial debate,"Georgia Republican Gov. Brian Kemp and Democratic nominee Stacey Abrams faced off in their second and final gubernatorial debate Sunday night, with a little more than a week to go before Election Day amid record high early voting.",national
What rising interest rates mean for you,"Here are a few ways to situate your money so that you can benefit from rising interest rates, and protect yourself from their downside.",national
The 10 Senate seats most likely to flip in 2022,"The race for the House is tilting strongly toward the GOP, but the struggle for Senate control is still very much a slog that could go either way, even as late-breaking national winds favor the party out of power.",national
Analysis: Takeaways from a grim weekend for Republicans in the election that won't end,"It was a disappointing weekend for Republicans and ex-President Donald Trump as Democrats kept the Senate for two more years after holding off a red wave in the House, which remains uncalled six days after the election.",national
What our collective Powerball escapism can tell us about the US economy - CNN,"The economy of the 2020s is a tough one to read. Like, are we in a recession? Technically, no, but ""technically"" is carrying a lot of weight there. Economists look to several indicators — GDP growth, employment, bond yields, wages, etc — to determine the answ…",national
US is running low on some weapons and ammunition to transfer to Ukraine,"As the first full winter of Russia's war with Ukraine sets in, the US is running low on some high-end weapons systems and ammunition available to transfer to Kyiv, three US officials with direct knowledge tell CNN.",national
